"Date","Issue","Code","Sector","Component Weight (JPX-Nikkei 400)"
"2020/01/31","NIPPON SUISAN KAISHA, LTD.","1332","Fishery, Agriculture and Forestry","0.0445%"
"2020/01/31","MARUHA NICHIRO CORP.","1333","Fishery, Agriculture and Forestry","0.0281%"
"2020/01/31","INPEX CORP.","1605","Mining","0.3054%"
"2020/01/31","HAZAMA ANDO CORP.","1719","Construction","0.0399%"
"2020/01/31","TOKYU CONSTRUCTION CO., LTD.","1720","Construction","0.0167%"
"2020/01/31","COMSYS HOLDINGS CORP.","1721","Construction","0.0836%"
"2020/01/31","TAISEI CORP.","1801","Construction","0.2509%"
"2020/01/31","OBAYASHI CORP.","1802","Construction","0.2070%"
"2020/01/31","SHIMIZU CORP.","1803","Construction","0.1962%"
"2020/01/31","HASEKO CORP.","1808","Construction","0.0951%"
"2020/01/31","KAJIMA CORP.","1812","Construction","0.1883%"
"2020/01/31","NISHIMATSU CONST. CO., LTD.","1820","Construction","0.0322%"
"2020/01/31","SUMITOMO MITSUI CONSTRUCTION CO., LTD.","1821","Construction","0.0256%"
"2020/01/31","MAEDA CORP.","1824","Construction","0.0452%"
"2020/01/31","TODA CORP.","1860","Construction","0.0505%"
"2020/01/31","KUMAGAI GUMI CO., LTD.","1861","Construction","0.0249%"
"2020/01/31","DAITO TRUST CONSTRUCTION CO.","1878","Construction","0.2638%"
"2020/01/31","NIPPO CORP.","1881","Construction","0.0383%"
"2020/01/31","PENTA-OCEAN CONST. CO., LTD.","1893","Construction","0.0442%"
"2020/01/31","SUMITOMO FORESTRY CO., LTD.","1911","Construction","0.0663%"
"2020/01/31","DAIWA HOUSE IND. CO., LTD.","1925","Construction","0.5842%"
"2020/01/31","SEKISUI HOUSE, LTD.","1928","Construction","0.4407%"
"2020/01/31","KYOWA EXEO CORP.","1951","Construction","0.0713%"
"2020/01/31","KYUDENKO CORP.","1959","Construction","0.0382%"
"2020/01/31","MIXI, INC.","2121","Services","0.0255%"
"2020/01/31","JAC RECRUITMENT CO., LTD.","2124","Services","0.0059%"
"2020/01/31","NIHON M&A CENTER INC.","2127","Services","0.1249%"
"2020/01/31","UT GROUP CO., LTD.","2146","Services","0.0229%"
