S.No.,Company Name,Ticker,Sector
1,ADVANTEST CORP,6857,Electric Appliances
2,AEON LTD,8267,Retail Trade
3,AGC INC,5201,Glass & Ceramics Products
4,AJINOMOTO INC,2802,Foods
5,ALPS ALPINE LTD,6770,Electric Appliances
6,AMADA HOLDINGS LTD,6113,Machinery
7,ANA HOLDINGS INC,9202,Air Transportation
8,AOZORA BANK LTD,8304,Banks
9,ASAHI GROUP HOLDINGS LTD,2502,Foods
10,ASAHI KASEI CORP,3407,Chemicals
11,ASTELLAS PHARMA INC,4503,Pharmaceutical
12,BANDAI NAMCO HOLDINGS INC,7832,Other Products
13,BRIDGESTONE CORP,5108,Rubber Products
14,CANON INC,7751,Electric Appliances
15,CASH COLLATERAL JPY MSJP,MSJP,Other
16,CASIO COMPUTER LTD,6952,Electric Appliances
17,CENTRAL JAPAN RAILWAY,9022,Land Transportation
18,CHIBA BANK LTD,8331,Banks
19,CHUBU ELECTRIC POWER INC,9502,Electric Power & Gas
20,CHUGAI PHARMACEUTICAL LTD,4519,Pharmaceutical
21,CITIZEN WATCH LTD,7762,Precision Instruments
22,COMSYS HOLDINGS CORP,1721,Construction
23,CONCORDIA FINANCIAL GROUP LTD,7186,Banks
24,CREDIT SAISON LTD,8253,Other Financing Business
25,CYBER AGENT INC,4751,Services
26,DAI NIPPON PRINTING LTD,7912,Other Products
27,DAI-ICHI LIFE HOLDINGS INC,8750,Insurance
28,DAIICHI SANKYO LTD,4568,Pharmaceutical
29,DAIKIN INDUSTRIES LTD,6367,Machinery
30,DAINIPPON SUMITOMO PHARMA LTD,4506,Pharmaceutical
31,DAIWA HOUSE INDUSTRY LTD,1925,Construction
32,DAIWA SECURITIES GROUP INC,8601,Securities
33,DENA LTD,2432,Services
34,DENKA CO LTD,4061,Chemicals
35,DENSO CORP,6902,Transportation Equipment
36,DENTSU GROUP INC,4324,Services
37,DIC CORP,4631,Chemicals
38,DOWA HOLDINGS LTD,5714,Nonferrous Metal
39,EAST JAPAN RAILWAY,9020,Land Transportation
40,EBARA CORP,6361,Machinery
41,EISAI LTD,4523,Pharmaceutical
42,FAMILYMART LTD,8028,Retail Trade
43,FANUC CORP,6954,Electric Appliances
44,FAST RETAILING LTD,9983,Retail Trade
