Symbol (link),Name,Last Price,Volume,Change,% Change,Market Cap
AAL.L,ANGLO AMERICAN PLC," 1,906.80","29,03,624",62.2,3.37%,"25,89,07,83,232"
ABF.L,ASSOCIATED BRITISH FOODS PLC," 2,310.00","3,13,892",48,2.12%,"18,18,37,20,960"
ADM.L,ADMIRAL GROUP PLC," 2,184.00","4,80,561",44,2.06%,"6,32,72,94,464"
AHT.L,ASHTEAD GROUP PLC," 2,429.00","16,30,800",22,0.91%,"10,93,23,84,768"
ANTO.L,ANTOFAGASTA PLC, 795.20,"8,68,989",19.6,2.53%,"7,80,01,00,864"
AUTO.L,AUTO TRADER GROUP PLC ORD 1P, 515.00,"12,76,829",-4.2,-0.81%,"4,70,29,05,856"
AV.L,AVIVA PLC, 351.30,"74,09,814",8.1,2.36%,"13,73,92,19,968"
AZN.L,ASTRAZENECA PLC ORD," 7,216.00","12,78,221",206,2.94%,"91,60,41,56,416"
BA.L,BAE SYSTEMS PLC, 613.60,"51,21,827",2.8,0.46%,"19,64,61,83,424"
BARC.L,BARCLAYS PLC, 142.76,"3,67,76,662",-0.54,-0.38%,"24,61,92,51,712"
BATS.L,BRITISH AMERICAN TOBACCO PLC," 3,070.64","20,07,334",70.14,2.34%,"70,21,59,74,912"
BDEV.L,BARRATT DEVELOPMENTS PLC, 769.79,"23,03,419",19.39,2.58%,"7,81,23,21,280"
BHP.L,BHP GROUP PLC ORD $0.50," 1,473.60","53,96,374",24.6,1.70%,"72,44,24,04,864"
BKG.L,BERKELEY GROUP HOLDINGS," 4,881.00","2,28,958",143,3.02%,"6,11,42,34,368"
BLND.L,BRITISH LAND COMPANY PLC, 509.00,"20,50,327",15,3.04%,"4,69,63,68,640"
BNZL.L,BUNZL PLCL," 1,950.50","2,82,314",40.5,2.12%,"6,57,42,18,240"
BP.L,BP PLC, 419.20,"1,61,13,204",7.95,1.93%,"81,51,35,86,688"
BRBY.L,BURBERRY GROUP PLC," 1,707.00","9,22,412",46,2.77%,"6,89,76,00,512"
BT-A.L,BT GROUP PLC, 141.78,"1,24,12,919",2.02,1.45%,"14,15,33,63,456"
CCH.L,COCA-COLA HBC AG," 2,568.00","3,51,440",53,2.11%,"9,16,87,96,672"
CCL.L,CARNIVAL PLC," 2,399.97","8,81,457",66.97,2.87%,"17,63,88,52,608"
CNA.L,CENTRICA PLC, 73.98,"1,00,78,347",0.68,0.93%,"4,28,58,26,048"
CPG.L,COMPASS GROUP PLC," 1,726.50","11,81,555",26,1.53%,"27,28,30,42,304"
CRDA.L,CRODA INTERNATIONAL PLC," 4,776.00","1,77,009",86,1.83%,"6,13,76,94,208"
CRH.L,CRH PLC," 2,776.00","7,20,974",58,2.13%,"21,15,43,40,864"
DCC.L,DCC PLC," 5,674.00","1,25,008",120,2.16%,"5,59,11,68,000"
