Date,Issue,Security Name,Sector,Component Weight (JPX-Nikkei 400)
31-01-2020,"NIPPON SUISAN KAISHA, LTD.",1332,"Fishery, Agriculture and Forestry",0.04%
31-01-2020,MARUHA NICHIRO CORP.,1333,"Fishery, Agriculture and Forestry",0.03%
31-01-2020,INPEX CORP.,1605,Mining,0.31%
31-01-2020,HAZAMA ANDO CORP.,1719,Construction,0.04%
31-01-2020,"TOKYU CONSTRUCTION CO., LTD.",1720,Construction,0.02%
31-01-2020,COMSYS HOLDINGS CORP.,1721,Construction,0.08%
31-01-2020,TAISEI CORP.,1801,Construction,0.25%
31-01-2020,OBAYASHI CORP.,1802,Construction,0.21%
31-01-2020,SHIMIZU CORP.,1803,Construction,0.20%
31-01-2020,HASEKO CORP.,1808,Construction,0.10%
31-01-2020,KAJIMA CORP.,1812,Construction,0.19%
31-01-2020,"NISHIMATSU CONST. CO., LTD.",1820,Construction,0.03%
31-01-2020,"SUMITOMO MITSUI CONSTRUCTION CO., LTD.",1821,Construction,0.03%
31-01-2020,MAEDA CORP.,1824,Construction,0.05%
31-01-2020,TODA CORP.,1860,Construction,0.05%
31-01-2020,"KUMAGAI GUMI CO., LTD.",1861,Construction,0.02%
31-01-2020,DAITO TRUST CONSTRUCTION CO.,1878,Construction,0.26%
31-01-2020,NIPPO CORP.,1881,Construction,0.04%
31-01-2020,"PENTA-OCEAN CONST. CO., LTD.",1893,Construction,0.04%
31-01-2020,"SUMITOMO FORESTRY CO., LTD.",1911,Construction,0.07%
31-01-2020,"DAIWA HOUSE IND. CO., LTD.",1925,Construction,0.58%
31-01-2020,"SEKISUI HOUSE, LTD.",1928,Construction,0.44%
31-01-2020,KYOWA EXEO CORP.,1951,Construction,0.07%
31-01-2020,KYUDENKO CORP.,1959,Construction,0.04%
31-01-2020,"MIXI, INC.",2121,Services,0.03%
31-01-2020,"JAC RECRUITMENT CO., LTD.",2124,Services,0.01%
31-01-2020,NIHON M&A CENTER INC.,2127,Services,0.12%
31-01-2020,"UT GROUP CO., LTD.",2146,Services,0.02%
31-01-2020,"SMS CO., LTD.",2175,Services,0.04%
31-01-2020,"PERSOL HOLDINGS CO., LTD.",2181,Services,0.10%
31-01-2020,"MORINAGA & CO., LTD.",2201,Foods,0.07%
31-01-2020,"EZAKI GLICO CO., LTD.",2206,Foods,0.08%
31-01-2020,"CALBEE, INC.",2229,Foods,0.09%
31-01-2020,"YAKULT HONSHA CO., LTD.",2267,Foods,0.21%
31-01-2020,"MEIJI HOLDINGS CO., LTD.",2269,Foods,0.28%
31-01-2020,NH FOODS LTD.,2282,Foods,0.10%
31-01-2020,NS SOLUTIONS CORP.,2327,Information & Communication,0.03%
31-01-2020,"SOHGO SECURITY SERVICES CO., LTD.",2331,Services,0.12%
31-01-2020,ICHIGO INC.,2337,Real Estate,0.03%
31-01-2020,"KAKAKU.COM, INC.",2371,Services,0.11%
31-01-2020,DIP CORP.,2379,Services,0.03%
31-01-2020,BENEFIT ONE INC.,2412,Services,0.04%
31-01-2020,"M3, INC.",2413,Services,0.37%
31-01-2020,OUTSOURCING INC.,2427,Services,0.03%
31-01-2020,"DENA CO., LTD.",2432,Services,0.05%
31-01-2020,HAKUHODO DY HOLDINGS INC.,2433,Services,0.11%
31-01-2020,"ASAHI GROUP HOLDINGS, LTD.",2502,Foods,0.58%
31-01-2020,"KIRIN HOLDINGS CO., LTD.",2503,Foods,0.56%
31-01-2020,SUNTORY BEVERAGE & FOOD LTD.,2587,Foods,0.17%
31-01-2020,"LAWSON, INC.",2651,Retail Trade,0.09%
31-01-2020,"ABC-MART, INC.",2670,Retail Trade,0.06%
31-01-2020,"MCDONALD'S HOLDINGS CO.(JAPAN), LTD.",2702,Retail Trade,0.12%
31-01-2020,SOJITZ CORP.,2768,Wholesale Trade,0.10%
31-01-2020,"SERIA CO., LTD.",2782,Retail Trade,0.04%
31-01-2020,ALFRESA HOLDINGS CORP.,2784,Wholesale Trade,0.13%
31-01-2020,KIKKOMAN CORP.,2801,Foods,0.21%
31-01-2020,"AJINOMOTO CO., INC.",2802,Foods,0.22%
