Security Name,Name,Sector
FOUR,4imprint Group plc,Media & Publishing
888,888 Holdings,Hotels & Entertainment Services
ASL,Aberforth Smaller Companies Trust,Collective Investments
ADM,Admiral Group,Insurance
AGK,Aggreko plc,Professional & Commercial Services
AAF,Airtel Africa plc,Telecommunications Services
AJB,AJ Bell Plc,Investment Banking & Investment Services
ATST,Alliance Trust plc,Collective Investments
AAL,Anglo American,Metals & Mining
ANTO,Antofagasta Holdings,Metals & Mining
APAX,Apax Global Alpha Limited,Collective Investments
ASCL,Ascential Plc,Professional & Commercial Services
ASHM,Ashmore Group plc,Investment Banking & Investment Services
AHT,Ashtead Group plc,Professional & Commercial Services
ABF,Associated British Foods plc,Food & Tobacco
AGR,Assura plc,Residential & Commercial REITs
AML,Aston Martin Lagonda,Automobiles & Auto Parts
AZN,AstraZeneca plc,Pharmaceuticals
AUTO,Auto Trader Group plc,Software & IT Services
AVST,Avast plc,Software & IT Services
AVV,AVEVA Group plc,Software & IT Services
AGT,AVI Global Trust plc,Collective Investments
AV,Aviva plc,Insurance
BME,B&M European Value Retail SA,Diversified Retail
BAB,Babcock International Group,Construction & Engineering
BA,BAE Systems plc,Aerospace & Defense
BGFD,Baillie Gifford Japan Trust plc,Investment Banking & Investment Services
BAKK,Bakkavor Group Plc,Food & Tobacco
BBY,Balfour Beatty plc,Construction & Engineering
BGEO,Bank Of Georgia Group Plc,Banking Services
BNKR,Bankers Investment Trust plc,Collective Investments
BARC,Barclays plc,Banking Services
BAG,Barr (AG),Beverages
BDEV,Barratt Developments plc,Homebuilding & Construction Supplies
BBA,BBA Aviation plc,Transport Infrastructure
BBGI,BBGI Sicav SA,Collective Investments
BEZ,Beazley plc,Insurance
BWY,Bellway plc,Homebuilding & Construction Supplies
BKG,Berkeley Group Holdings plc,Homebuilding & Construction Supplies
BHP,BHP Group Plc,Metals & Mining
BYG,Big Yellow Group,Residential & Commercial REITs
BRSC,BlackRock Smaller Companies Trust,Collective Investments
BCPT,BMO Commercial Property Trust Ltd,Collective Investments
BGSC,BMO Global Smaller Companies PLC,Collective Investments
BOY,Bodycote plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
BVS,Bovis Homes Group plc,Homebuilding & Construction Supplies
BP,BP Plc,Oil & Gas
BRW,Brewin Dolphin Holdings plc,Investment Banking & Investment Services
BATS,British American Tobacco plc,Food & Tobacco
BLND,British Land Co plc,Residential & Commercial REITs
BVIC,Britvic plc,Beverages
BT-A,BT Group plc,Telecommunications Services
BNZL,Bunzl plc,Diversified Industrial Goods Wholesalers
BRBY,Burberry Group plc,Specialty Retailers
CNE,Cairn Energy plc,Oil & Gas
CLDN,Caledonia Investments plc,Collective Investments
CPI,Capita plc,Real Estate Operations
CAPC,Capital & Counties Properties plc,Professional & Commercial Services
CARD,Card Factory plc,Specialty Retailers
CCL,Carnival plc,Hotels & Entertainment Services
CEY,Centamin plc,Metals & Mining
CNA,Centrica plc,Multiline Utilities
CINE,Cineworld Group plc,Hotels & Entertainment Services
CTY,City Of London Investment Trust,Collective Investments
CKN,Clarkson plc,Freight & Logistics Services
CBG,Close Brothers Group plc,Banking Services
CLI,CLS Holdings plc,Real Estate Operations
COA,Coats Group plc,Textiles & Apparel
COB,Cobham plc,Aerospace & Defense
CCH,Coca-Cola HBC AG,Beverages
CPG,Compass Group plc,Hotels & Entertainment Services
CCC,Computacenter plc,Software & IT Services
GLO,ContourGlobal plc,Electric Utilities & IPPs
CTEC,ConvaTec Group Plc,Healthcare Equipment & Supplies
CSP,Countryside Properties Plc,Homebuilding & Construction Supplies
CWK,Cranswick plc,Food & Tobacco
CRST,Crest Nicholson Holdings plc,Homebuilding & Construction Supplies
CRH,CRH plc,Construction Materials
CRDA,Croda International plc,Chemicals
DJAN,Daejan Holdings plc,Real Estate Operations
DCC,DCC plc,Oil & Gas
DPH,Dechra Pharmaceuticals plc,Pharmaceuticals
DLN,Derwent London plc,Residential & Commercial REITs
DGE,Diageo plc,Beverages
DPLM,Diploma plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
DLG,Direct Line Insurance Group plc,Insurance
DC,Dixons Carphone plc,Specialty Retailers
DOM,Domino's Pizza Group plc,Hotels & Entertainment Services
DRX,Drax Group plc,Electric Utilities & IPPs
DNLM,Dunelm Group Plc,Specialty Retailers
EZJ,easyJet plc,Passenger Transportation Services
EDIN,Edinburgh Investment Trust plc,Collective Investments
EIG,EI Group plc,Hotels & Entertainment Services
ECM,Electrocomponents plc,Electronic Equipment & Parts
ELM,Elementis plc,Chemicals
ENOG,Energean Oil & Gas,Oil & Gas
ETO,Entertainment One Ltd,Media & Publishing
EQN,Equiniti Group plc,Professional & Commercial Services
ESNT,Essentra Plc,Containers & Packaging
ERM,Euromoney Institutional Investors plc,Professional & Commercial Services
EVR,Evraz plc,Metals & Mining
EXPN,Experian Plc,Professional & Commercial Services
FCIT,F&C Investment Trust plc,Collective Investments
FDM,FDM Group plc,Software & IT Services
FERG,Ferguson plc,Homebuilding & Construction Supplies
FXPO,Ferrexpo plc,Metals & Mining
FCSS,Fidelity China Special Situations PLC,Collective Investments
FEV,Fidelity European Values plc,Collective Investments
FSV,Fidelity Special Values,Collective Investments
FIN,Finablr plc,Professional & Commercial Services
FGT,Finsbury Growth & Income Trust plc,Collective Investments
FGP,FirstGroup plc,Passenger Transportation Services
FLTR,Flutter Entertainment,Hotels & Entertainment Services
FSFL,Foresight Solar Fund Ltd,Collective Investments
FRES,Fresnillo,Metals & Mining
FUTR,Future plc,Media & Publishing
GFS,G4S Plc,Professional & Commercial Services
GFRD,Galliford Try Plc,Construction & Engineering
GAW,Games Workshop Group,Leisure Products
GCP,GCP Infrastructure Investments Ltd,Collective Investments
DIGS,GCP Student Living plc,Residential & Commercial REITs
GSS,Genesis Emerging Markets Fund Ltd,Collective Investments
GNS,Genus plc,Biotechnology & Medical Research
GSK,GlaxoSmithKline plc,Pharmaceuticals
GLEN,Glencore plc,Coal
GOG,Go Ahead Group,Passenger Transportation Services
GFTU,Grafton Group,Specialty Retailers
GRI,Grainger Plc,Real Estate Operations
GPOR,Great Portland Estates,Residential & Commercial REITs
UKW,Greencoat UK Wind plc,Collective Investments
GNC,Greencore Group plc,Food & Tobacco
GRG,Greggs Plc,Hotels & Entertainment Services
GVC,GVC Holdings plc,Hotels & Entertainment Services
HLMA,Halma plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HMSO,Hammerson,Residential & Commercial REITs
HVPE,Harbourvest Global Private Equity,Investment Banking & Investment Services
HL,Hargreaves Lansdown plc,Investment Banking & Investment Services
HSTG,Hastings Group Holdings plc,Insurance
HAS,Hays plc,Professional & Commercial Services
HSL,Henderson Smaller Cos Investment Trust plc,Collective Investments
HRI,Herald Investment Trust,Collective Investments
HGT,HG Capital Trust plc,Collective Investments
HICL,HICL Infrastructure plc,Collective Investments
HIK,Hikma Pharmaceuticals,Pharmaceuticals
HILS,Hill & Smith Holdings plc,Metals & Mining
