Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (Lac),No. of Trades
500209,INFY,A,735.1,754.95,733.4,744.45,"37,61,334",27750.04,11957
532648,YESBANK,A,180,209.7,170,201.2,"69,50,872",13278.04,64202
524715,SUNPHARMA,A,624,637.05,609.65,630.7,"9,89,883",6225.7,16025
532500,MARUTI,A,7355,7499.6,7211,7465.3,74627,5482.96,10178
500247,KOTAKBANK,A,1095,1140,1002.3,1124.45,"4,82,913",5243.33,13502
532187,INDUSINDBK,A,1657,1658.95,1616.75,1643.5,"2,90,240",4755.11,4447
532215,AXISBANK,A,613.8,617,572.3,593.95,"7,74,068",4583.68,10227
500325,RELIANCE,A,1258.2,1260,1204.3,1231.55,"3,66,797",4500.95,9965
532540,TCS,A,2186,2273,2186,2255.8,"1,86,123",4169.86,9298
500510,LT,A,1272.1,1274.8,1218,1247.45,"3,26,031",4032.8,17996
500112,SBIN,A,265.5,274.25,264.4,273.05,"14,64,835",3940.65,9846
500010,HDFC,A,1760,1817.9,1753.95,1803.4,"1,75,718",3137.75,3862
532174,ICICIBANK,A,305.3,315.55,300.5,314.15,"10,11,967",3125.75,6578
500470,TATASTEEL,A,583,585.45,557.9,583.5,"4,89,388",2804.5,6634
500180,HDFCBANK,A,2015,2043.1,1999.6,2036.35,"1,23,256",2489.07,5345
500875,ITC,A,300.65,302.95,293.5,296.7,"8,08,160",2393.33,4787
500570,TATAMOTORS,A,224.3,230.5,220.05,229.25,"8,18,192",1843.09,7290
500295,VEDL,A,231,233.8,225.5,232.9,"7,48,050",1728.77,4587
500696,HINDUNILVR,A,1608,1650.55,1601.5,1642.85,99192,1610.68,2333
532921,ADANIPORTS,A,329,334.95,320.25,330.5,"3,54,326",1153.76,4254
500520,M&M,A,863.7,863.7,840.35,847.6,"1,33,156",1132.66,3290
532454,BHARTIARTL,A,340,340.2,321.95,325.85,"3,25,284",1066.15,2992
532977,BAJAJ-AUTO,A,2700,2745,2621.55,2729.75,38020,1024.01,2736
500820,ASIANPAINT,A,1300,1307.5,1269,1278.6,78914,1013.53,2384
507685,WIPRO,A,323.95,332.25,322.9,330.85,"1,97,030",649.73,3004
500182,HEROMOTOCO,A,2942.8,2985.35,2850,2972.45,22043,642.2,1727
532555,NTPC,A,168.9,170.2,165.85,169.15,"3,78,745",636.53,1459
533278,COALINDIA,A,266,273.55,263,272.55,"1,36,407",366.58,2301
500312,ONGC,A,178,180.4,174.7,179,"1,86,761",330.84,2233
532898,POWERGRID,A,188.5,193.7,186.4,192.25,90520,172.21,710
570001,TATAMTRDVR,A,116.5,121.5,114.55,121,"1,44,078",170.62,1495
